,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.02,0.06,0.07,0.04,0.01,0.02,0.05,0.03,0.01,0.17,0.06,0.05,0.11,0.05,0.04,0.09,0.04,0.02,0.06,0.115381263899,0.00585586907579,19.7035251995
1,0.01,0.11,0.14,0.05,0.06,0.02,0.06,0.07,0.05,0.03,0.1,0.01,0.04,0.02,0.08,0.02,0.06,0.06,0.01,0.109140059747,0.00586745227981,18.6009283999
2,0.12,0.06,0.03,0.09,0.02,0.02,0.01,0.01,0.06,0.09,0.02,0.01,0.2,0.06,0.01,0.03,0.04,0.06,0.06,0.0576162413195,0.00572257972232,10.0682286862
3,0.06,0.02,0.02,0.07,0.11,0.11,0.04,0.01,0.13,0.05,0.02,0.01,0.08,0.03,0.03,0.01,0.16,0.02,0.02,0.101525635491,0.00632481578896,16.0519513735
4,0.01,0.06,0.01,0.04,0.07,0.04,0.07,0.09,0.04,0.02,0.01,0.04,0.23,0.02,0.02,0.06,0.08,0.01,0.08,0.0838428471828,0.00615617000814,13.6193196536
5,0.09,0.07,0.04,0.06,0.06,0.02,0.01,0.01,0.04,0.09,0.06,0.04,0.07,0.02,0.12,0.01,0.08,0.03,0.08,0.115288906068,0.00580006280136,19.8771823713
6,0.03,0.03,0.01,0.04,0.02,0.11,0.11,0.01,0.01,0.06,0.02,0.05,0.08,0.03,0.01,0.03,0.09,0.11,0.15,0.0889709335858,0.006167439188,14.4259117721
7,0.04,0.01,0.09,0.09,0.01,0.19,0.04,0.08,0.03,0.04,0.04,0.03,0.12,0.02,0.05,0.04,0.01,0.01,0.06,0.0930038499605,0.00574879550502,16.177971521
8,0.01,0.03,0.05,0.01,0.2,0.01,0.03,0.01,0.13,0.01,0.02,0.09,0.08,0.04,0.13,0.03,0.01,0.05,0.06,0.158051820669,0.00657283938073,24.046201575
9,0.05,0.06,0.04,0.02,0.09,0.03,0.01,0.12,0.13,0.01,0.01,0.07,0.04,0.01,0.11,0.01,0.13,0.03,0.03,0.127693241262,0.00677339840069,18.85216751
10,0.02,0.03,0.12,0.04,0.01,0.01,0.04,0.13,0.03,0.07,0.07,0.14,0.04,0.08,0.03,0.04,0.02,0.07,0.01,0.138708982792,0.00608044829101,22.812295435
11,0.01,0.01,0.03,0.01,0.04,0.08,0.01,0.16,0.1,0.03,0.07,0.05,0.04,0.11,0.03,0.03,0.09,0.09,0.01,0.0895142514833,0.00673077804851,13.2992427975
12,0.14,0.01,0.17,0.09,0.06,0.04,0.16,0.02,0.01,0.07,0.02,0.05,0.01,0.01,0.02,0.01,0.06,0.03,0.02,0.147148400123,0.0056322978724,26.1258199506
13,0.11,0.01,0.01,0.05,0.01,0.06,0.03,0.05,0.03,0.15,0.02,0.02,0.04,0.01,0.16,0.06,0.15,0.01,0.02,0.119819454742,0.00583438090792,20.5367898726
14,0.02,0.05,0.01,0.06,0.12,0.03,0.05,0.09,0.04,0.01,0.02,0.1,0.02,0.14,0.03,0.01,0.11,0.03,0.06,0.124851093683,0.00607028987752,20.5675669865
15,0.01,0.01,0.03,0.17,0.02,0.09,0.01,0.06,0.12,0.01,0.04,0.09,0.04,0.06,0.04,0.02,0.08,0.01,0.09,0.0988478615625,0.00642864063807,15.3761684822
16,0.02,0.01,0.03,0.02,0.08,0.21,0.08,0.1,0.08,0.12,0.02,0.06,0.04,0.01,0.01,0.01,0.06,0.01,0.03,0.136045633559,0.00621747065379,21.8811862788
17,0.01,0.12,0.06,0.01,0.05,0.01,0.11,0.08,0.08,0.05,0.04,0.12,0.02,0.06,0.06,0.01,0.01,0.04,0.06,0.153561626094,0.00581332334716,26.4154627093
