,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.01,0.1,0.04,0.07,0.07,0.02,0.08,0.1,0.04,0.1,0.08,0.01,0.03,0.02,0.04,0.02,0.03,0.1,0.04,0.0966792836495,0.00538351228078,17.9584031033
1,0.11,0.02,0.04,0.02,0.03,0.01,0.08,0.11,0.04,0.09,0.09,0.03,0.09,0.05,0.03,0.01,0.04,0.07,0.04,0.102002622824,0.00581776104991,17.5329687743
2,0.12,0.05,0.03,0.03,0.06,0.01,0.18,0.06,0.02,0.02,0.03,0.1,0.05,0.06,0.05,0.08,0.02,0.02,0.01,0.167419744196,0.00585738663755,28.5826691246
3,0.1,0.01,0.22,0.05,0.06,0.03,0.06,0.02,0.09,0.01,0.02,0.02,0.01,0.09,0.1,0.02,0.02,0.02,0.05,0.130216397755,0.0062074912032,20.9772987979
4,0.03,0.08,0.12,0.18,0.02,0.03,0.06,0.02,0.04,0.03,0.06,0.01,0.03,0.04,0.09,0.01,0.01,0.13,0.01,0.0729284517151,0.00607591761245,12.0028704085
5,0.01,0.03,0.05,0.04,0.03,0.07,0.04,0.09,0.02,0.12,0.01,0.03,0.12,0.03,0.15,0.05,0.03,0.04,0.04,0.105622914123,0.00625531421675,16.8853091089
6,0.08,0.05,0.02,0.01,0.02,0.02,0.06,0.02,0.1,0.05,0.11,0.01,0.11,0.02,0.06,0.12,0.01,0.03,0.1,0.112152328319,0.00610279625345,18.3772034427
7,0.03,0.06,0.02,0.13,0.02,0.04,0.08,0.09,0.01,0.09,0.04,0.04,0.07,0.02,0.04,0.05,0.1,0.05,0.02,0.0927180431417,0.00585406017032,15.8382456695
8,0.17,0.01,0.02,0.01,0.08,0.14,0.02,0.02,0.04,0.04,0.01,0.06,0.01,0.25,0.01,0.02,0.05,0.02,0.02,0.126657670469,0.00564800794216,22.4251934073
9,0.07,0.11,0.03,0.1,0.04,0.06,0.06,0.03,0.11,0.06,0.03,0.01,0.01,0.05,0.02,0.05,0.07,0.05,0.04,0.0995713197391,0.00520337340664,19.1359166367
10,0.02,0.01,0.01,0.02,0.01,0.02,0.04,0.02,0.03,0.04,0.05,0.09,0.02,0.05,0.19,0.11,0.07,0.12,0.08,0.131904723994,0.00597696114811,22.0688608685
