,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.07,0.06,0.02,0.05,0.05,0.01,0.03,0.07,0.04,0.14,0.05,0.04,0.04,0.07,0.1,0.07,0.01,0.02,0.06,0.225959271467,0.00563220532744,40.1191466451
1,0.12,0.01,0.12,0.01,0.03,0.03,0.01,0.03,0.02,0.02,0.12,0.07,0.18,0.03,0.05,0.03,0.07,0.02,0.03,0.220001817744,0.007606796606,28.9217431646
2,0.02,0.06,0.08,0.05,0.01,0.26,0.04,0.04,0.01,0.02,0.02,0.02,0.11,0.07,0.05,0.02,0.02,0.02,0.08,0.159513754573,0.00670799397385,23.7796508456
3,0.01,0.04,0.04,0.03,0.01,0.04,0.15,0.03,0.05,0.02,0.07,0.06,0.06,0.05,0.06,0.14,0.01,0.02,0.11,0.256932378861,0.00605582345584,42.4273231765
4,0.01,0.01,0.05,0.06,0.01,0.07,0.13,0.01,0.03,0.13,0.09,0.03,0.07,0.01,0.05,0.03,0.19,0.01,0.01,0.221486589535,0.00572905468005,38.6602331282
5,0.19,0.02,0.03,0.05,0.02,0.05,0.04,0.06,0.02,0.03,0.05,0.04,0.03,0.06,0.07,0.05,0.04,0.01,0.14,0.207817847533,0.00664256040118,31.2858047171
6,0.1,0.05,0.03,0.05,0.01,0.04,0.05,0.05,0.02,0.03,0.05,0.03,0.06,0.01,0.03,0.17,0.11,0.06,0.05,0.198910426238,0.00562573932924,35.3572063327
7,0.09,0.01,0.02,0.05,0.01,0.02,0.04,0.01,0.06,0.03,0.27,0.02,0.09,0.05,0.01,0.07,0.04,0.03,0.08,0.175255884315,0.0070526276805,24.8497286762
8,0.01,0.1,0.01,0.04,0.06,0.02,0.08,0.02,0.07,0.04,0.02,0.07,0.12,0.16,0.06,0.02,0.03,0.05,0.02,0.207720429022,0.00577276377945,35.9828388893
9,0.03,0.01,0.03,0.03,0.02,0.01,0.09,0.01,0.31,0.11,0.05,0.15,0.02,0.02,0.01,0.04,0.02,0.03,0.01,0.336887046769,0.00578143181754,58.2705214557
10,0.08,0.02,0.02,0.1,0.02,0.04,0.01,0.03,0.01,0.02,0.05,0.03,0.07,0.11,0.15,0.03,0.12,0.06,0.03,0.153838598825,0.0059906237281,25.6798967532
11,0.12,0.01,0.01,0.02,0.16,0.02,0.04,0.04,0.01,0.05,0.06,0.01,0.02,0.07,0.02,0.06,0.04,0.04,0.2,0.207313473916,0.0068344061934,30.333794634
12,0.15,0.02,0.08,0.09,0.01,0.06,0.02,0.01,0.02,0.01,0.01,0.17,0.07,0.11,0.02,0.03,0.06,0.03,0.03,0.279906978629,0.00702884879374,39.822592126
13,0.03,0.02,0.05,0.04,0.01,0.13,0.06,0.01,0.15,0.02,0.02,0.08,0.04,0.14,0.07,0.05,0.02,0.05,0.01,0.238639798108,0.0055389397433,43.0840213413
14,0.11,0.03,0.09,0.04,0.05,0.2,0.03,0.01,0.01,0.01,0.02,0.03,0.01,0.05,0.04,0.02,0.21,0.01,0.03,0.223197307576,0.00607091326669,36.765029868
15,0.02,0.01,0.15,0.04,0.03,0.07,0.15,0.01,0.01,0.01,0.09,0.02,0.01,0.14,0.03,0.02,0.11,0.01,0.07,0.221999215687,0.00602948004536,36.8189651541
16,0.05,0.06,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.09,0.18,0.02,0.03,0.02,0.03,0.18,0.03,0.14,0.04,0.198363684267,0.00560449831856,35.3936557728
17,0.19,0.01,0.04,0.01,0.12,0.04,0.05,0.07,0.01,0.13,0.02,0.04,0.01,0.04,0.02,0.02,0.11,0.02,0.05,0.263881114798,0.00586131336814,45.0208167051
18,0.02,0.01,0.09,0.05,0.07,0.07,0.1,0.04,0.03,0.11,0.02,0.06,0.09,0.04,0.07,0.02,0.01,0.03,0.07,0.242969813837,0.00638913737704,38.0285787421
19,0.09,0.03,0.02,0.07,0.02,0.02,0.05,0.04,0.05,0.08,0.02,0.01,0.02,0.07,0.1,0.08,0.08,0.14,0.01,0.15781419912,0.00498855010325,31.6352839711
20,0.02,0.02,0.09,0.01,0.13,0.12,0.04,0.04,0.01,0.21,0.01,0.02,0.07,0.02,0.03,0.05,0.03,0.04,0.04,0.242606912401,0.00596983297686,40.6388107241
21,0.06,0.06,0.09,0.01,0.09,0.01,0.03,0.03,0.04,0.05,0.08,0.02,0.01,0.05,0.02,0.07,0.05,0.16,0.07,0.185376717606,0.00545744430932,33.9676792101
22,0.16,0.01,0.11,0.09,0.04,0.05,0.02,0.14,0.03,0.02,0.01,0.01,0.02,0.03,0.01,0.02,0.13,0.07,0.03,0.146409788358,0.00582190039708,25.148109444
23,0.17,0.01,0.07,0.11,0.08,0.07,0.05,0.01,0.03,0.02,0.01,0.12,0.04,0.07,0.04,0.03,0.02,0.04,0.01,0.284792179763,0.00666698783996,42.7167690417
24,0.02,0.11,0.08,0.04,0.04,0.01,0.03,0.03,0.05,0.19,0.03,0.05,0.04,0.02,0.04,0.16,0.03,0.02,0.01,0.268150549111,0.00532067718599,50.3978233855
25,0.23,0.05,0.02,0.14,0.02,0.03,0.01,0.07,0.09,0.05,0.01,0.03,0.05,0.01,0.01,0.07,0.01,0.07,0.03,0.159697671845,0.00598467868307,26.6844187136
26,0.02,0.06,0.01,0.01,0.07,0.04,0.04,0.01,0.02,0.06,0.06,0.01,0.01,0.09,0.15,0.15,0.03,0.06,0.1,0.226585477022,0.00549010837481,41.2715854684
27,0.05,0.12,0.08,0.02,0.01,0.01,0.14,0.01,0.05,0.01,0.02,0.08,0.16,0.01,0.11,0.06,0.03,0.02,0.01,0.271956922514,0.00651842667429,41.7212520909
28,0.09,0.02,0.01,0.07,0.1,0.2,0.07,0.04,0.06,0.01,0.04,0.05,0.03,0.03,0.05,0.04,0.02,0.03,0.04,0.247780952324,0.00628792374645,39.4058456042
29,0.15,0.05,0.07,0.01,0.06,0.04,0.03,0.1,0.04,0.01,0.03,0.01,0.04,0.03,0.04,0.05,0.09,0.12,0.03,0.171707502419,0.00543860889327,31.5719526425
30,0.02,0.05,0.12,0.04,0.04,0.08,0.03,0.1,0.06,0.11,0.05,0.02,0.03,0.01,0.01,0.16,0.02,0.03,0.02,0.227116814756,0.00548642447086,41.3961435107
31,0.06,0.1,0.07,0.02,0.08,0.03,0.04,0.05,0.04,0.02,0.06,0.04,0.14,0.03,0.02,0.01,0.14,0.04,0.01,0.196199556328,0.00628747960133,31.2048020461
32,0.02,0.06,0.07,0.06,0.02,0.01,0.03,0.05,0.06,0.02,0.04,0.07,0.01,0.03,0.09,0.06,0.04,0.03,0.23,0.209010889326,0.00743782260961,28.1010855322
33,0.03,0.02,0.07,0.07,0.08,0.05,0.07,0.02,0.19,0.03,0.01,0.08,0.03,0.01,0.05,0.01,0.11,0.05,0.02,0.259439898064,0.00579980170638,44.7325462487
34,0.02,0.01,0.17,0.07,0.05,0.1,0.01,0.01,0.03,0.02,0.02,0.21,0.04,0.04,0.06,0.01,0.09,0.02,0.02,0.355552928009,0.00780810329848,45.5364016608
35,0.05,0.01,0.02,0.01,0.08,0.03,0.02,0.08,0.03,0.09,0.16,0.03,0.06,0.02,0.04,0.18,0.03,0.04,0.02,0.244006926841,0.00595518398993,40.9738686922
