,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.04,0.1,0.05,0.08,0.04,0.02,0.05,0.07,0.02,0.08,0.04,0.05,0.03,0.21,0.05,0.01,0.02,0.01,0.03,0.106970386682,0.00542210984694,19.728553958
1,0.04,0.14,0.02,0.03,0.01,0.01,0.01,0.04,0.04,0.05,0.03,0.02,0.18,0.06,0.1,0.03,0.04,0.02,0.13,0.078281318241,0.00705446840974,11.096699807
2,0.03,0.04,0.01,0.02,0.1,0.03,0.02,0.07,0.03,0.01,0.02,0.05,0.1,0.05,0.1,0.11,0.09,0.02,0.1,0.121705991068,0.00650117290762,18.7206205399
3,0.1,0.21,0.01,0.05,0.02,0.01,0.01,0.02,0.03,0.04,0.05,0.13,0.04,0.02,0.1,0.02,0.02,0.03,0.09,0.148405511119,0.00664170709335,22.3444829821
4,0.02,0.01,0.09,0.08,0.15,0.11,0.02,0.17,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.04,0.01,0.08,0.04,0.104342035316,0.00626352678894,16.6586715172
5,0.04,0.03,0.02,0.08,0.04,0.04,0.09,0.12,0.04,0.18,0.1,0.03,0.01,0.04,0.01,0.04,0.01,0.02,0.06,0.117326085665,0.00561814410681,20.8834240337
6,0.07,0.03,0.16,0.03,0.1,0.1,0.05,0.04,0.03,0.04,0.08,0.06,0.06,0.04,0.03,0.02,0.01,0.01,0.04,0.144057725198,0.00668984312622,21.5337972027
7,0.01,0.1,0.05,0.01,0.01,0.03,0.15,0.03,0.11,0.12,0.02,0.02,0.09,0.13,0.01,0.05,0.02,0.03,0.01,0.112171054478,0.00488550883601,22.9599532501
8,0.03,0.02,0.03,0.02,0.02,0.02,0.06,0.16,0.07,0.02,0.03,0.08,0.12,0.01,0.05,0.01,0.05,0.13,0.07,0.0891855180536,0.00644772216744,13.8320969387
9,0.01,0.04,0.02,0.2,0.07,0.04,0.05,0.03,0.04,0.03,0.02,0.01,0.13,0.03,0.04,0.08,0.07,0.08,0.01,0.063169862014,0.00648008191097,9.74831227164
10,0.03,0.01,0.05,0.03,0.05,0.04,0.04,0.09,0.01,0.2,0.04,0.05,0.04,0.04,0.08,0.02,0.12,0.02,0.04,0.127032584588,0.00570728451192,22.2579730033
11,0.01,0.04,0.01,0.01,0.11,0.04,0.15,0.12,0.01,0.05,0.07,0.11,0.06,0.04,0.01,0.02,0.1,0.03,0.01,0.156854943328,0.00610213248716,25.7049389959
12,0.18,0.04,0.02,0.04,0.09,0.04,0.04,0.08,0.08,0.01,0.05,0.06,0.01,0.06,0.09,0.01,0.02,0.05,0.03,0.138151873234,0.00590223903713,23.4066889472
13,0.06,0.02,0.04,0.05,0.03,0.08,0.07,0.02,0.02,0.25,0.01,0.11,0.03,0.02,0.01,0.01,0.09,0.03,0.05,0.148037493332,0.00598046372793,24.7535141197
14,0.01,0.09,0.03,0.09,0.06,0.07,0.02,0.02,0.09,0.01,0.04,0.01,0.06,0.04,0.1,0.09,0.13,0.02,0.02,0.103701222037,0.00555936266543,18.6534371435
15,0.04,0.04,0.02,0.09,0.09,0.02,0.03,0.08,0.01,0.02,0.02,0.01,0.16,0.01,0.05,0.03,0.04,0.02,0.22,0.0699168796272,0.00813336052173,8.59630892303
16,0.01,0.01,0.08,0.01,0.01,0.1,0.01,0.06,0.01,0.02,0.05,0.01,0.27,0.06,0.07,0.12,0.08,0.01,0.01,0.0767709346392,0.00787985964928,9.74267792272
17,0.08,0.02,0.16,0.02,0.02,0.01,0.02,0.08,0.01,0.1,0.1,0.18,0.01,0.02,0.06,0.06,0.01,0.03,0.01,0.188258120704,0.00709173569591,26.5461276021
18,0.28,0.03,0.05,0.15,0.02,0.01,0.06,0.03,0.03,0.03,0.05,0.01,0.01,0.02,0.06,0.08,0.02,0.01,0.05,0.116066849172,0.00639506964595,18.1494269175
19,0.02,0.02,0.02,0.05,0.16,0.01,0.01,0.1,0.01,0.01,0.07,0.01,0.09,0.06,0.01,0.12,0.11,0.04,0.08,0.100518143403,0.00623406451078,16.1240139927
20,0.02,0.07,0.04,0.04,0.05,0.01,0.03,0.02,0.03,0.13,0.02,0.01,0.02,0.18,0.03,0.06,0.1,0.08,0.06,0.0892495738449,0.00492212120385,18.1323397268
21,0.16,0.05,0.03,0.01,0.08,0.03,0.14,0.02,0.05,0.12,0.01,0.02,0.04,0.03,0.03,0.08,0.07,0.02,0.01,0.149544448161,0.00524080247952,28.5346468876
22,0.01,0.04,0.02,0.04,0.05,0.02,0.01,0.01,0.02,0.11,0.05,0.15,0.02,0.1,0.13,0.04,0.01,0.05,0.12,0.154851794849,0.00682406010522,22.6920326699
23,0.06,0.11,0.06,0.08,0.14,0.1,0.07,0.03,0.06,0.01,0.02,0.01,0.05,0.02,0.03,0.02,0.04,0.03,0.06,0.115979582672,0.00596433796591,19.4455081745
24,0.02,0.02,0.01,0.08,0.1,0.01,0.06,0.01,0.09,0.02,0.1,0.04,0.06,0.06,0.14,0.02,0.08,0.04,0.04,0.121347117042,0.00609819931609,19.8988440279
25,0.08,0.03,0.06,0.01,0.02,0.03,0.04,0.03,0.26,0.06,0.09,0.02,0.05,0.01,0.01,0.04,0.03,0.03,0.1,0.113434501247,0.00574736711121,19.736776693
26,0.03,0.05,0.05,0.09,0.01,0.12,0.02,0.08,0.03,0.12,0.04,0.02,0.11,0.02,0.01,0.13,0.03,0.01,0.03,0.0956072982159,0.00606349994638,15.7676752802
27,0.06,0.03,0.02,0.08,0.02,0.02,0.02,0.02,0.12,0.01,0.1,0.06,0.04,0.07,0.1,0.01,0.16,0.04,0.02,0.109888809686,0.00585364789689,18.7727057763
28,0.1,0.03,0.05,0.02,0.04,0.19,0.01,0.05,0.01,0.1,0.1,0.07,0.03,0.01,0.05,0.1,0.01,0.01,0.02,0.152059086398,0.00641930716505,23.6877722919
29,0.09,0.11,0.03,0.03,0.08,0.09,0.01,0.09,0.01,0.05,0.21,0.01,0.03,0.01,0.06,0.03,0.03,0.02,0.01,0.125376681651,0.00621188559823,20.183353294
30,0.05,0.04,0.01,0.01,0.1,0.01,0.02,0.14,0.17,0.04,0.05,0.01,0.07,0.06,0.01,0.03,0.02,0.12,0.04,0.0853849841509,0.00530987187466,16.0804226856
31,0.02,0.09,0.01,0.21,0.03,0.01,0.02,0.01,0.18,0.11,0.05,0.02,0.04,0.07,0.02,0.01,0.03,0.06,0.01,0.0712818265121,0.00578662391685,12.3183789955
32,0.02,0.02,0.1,0.02,0.04,0.04,0.02,0.02,0.18,0.04,0.01,0.07,0.06,0.01,0.16,0.09,0.01,0.07,0.02,0.140515889769,0.00590911966004,23.7794964145
33,0.01,0.04,0.03,0.01,0.02,0.05,0.14,0.14,0.04,0.01,0.01,0.16,0.15,0.02,0.1,0.01,0.01,0.02,0.03,0.153421737055,0.00734094834915,20.8994437445
34,0.02,0.02,0.09,0.16,0.02,0.02,0.12,0.07,0.04,0.09,0.14,0.02,0.03,0.01,0.03,0.02,0.06,0.01,0.03,0.104653594675,0.00642059677146,16.2996678346
35,0.01,0.05,0.05,0.1,0.04,0.01,0.1,0.02,0.02,0.07,0.09,0.05,0.03,0.06,0.14,0.03,0.02,0.09,0.02,0.118254378932,0.00580064694144,20.3864120892
36,0.13,0.01,0.02,0.04,0.04,0.01,0.04,0.06,0.03,0.02,0.06,0.06,0.22,0.09,0.01,0.02,0.01,0.01,0.12,0.0882860055739,0.00790678518639,11.1658535666
37,0.15,0.04,0.05,0.02,0.08,0.08,0.03,0.03,0.07,0.07,0.02,0.01,0.1,0.03,0.03,0.13,0.02,0.03,0.01,0.124330030502,0.00584421620258,21.2740299456
38,0.04,0.03,0.1,0.07,0.04,0.02,0.1,0.06,0.05,0.01,0.08,0.02,0.11,0.01,0.05,0.07,0.04,0.07,0.03,0.100399051928,0.00612439450997,16.3933025157
39,0.01,0.06,0.03,0.04,0.08,0.06,0.03,0.05,0.16,0.02,0.04,0.03,0.02,0.05,0.1,0.04,0.09,0.02,0.07,0.121201743972,0.00557222457421,21.7510515518
40,0.02,0.06,0.04,0.02,0.15,0.08,0.1,0.02,0.02,0.01,0.02,0.03,0.12,0.01,0.19,0.03,0.04,0.02,0.02,0.144454417382,0.00667542294668,21.6397400638
41,0.09,0.02,0.02,0.08,0.08,0.03,0.08,0.07,0.01,0.01,0.11,0.02,0.03,0.16,0.04,0.03,0.03,0.08,0.01,0.0982889607228,0.00556562314095,17.6600100714
42,0.02,0.05,0.09,0.01,0.01,0.05,0.05,0.04,0.02,0.09,0.17,0.13,0.07,0.03,0.04,0.04,0.01,0.05,0.03,0.152761745615,0.00679369959256,22.4857963666
43,0.05,0.14,0.03,0.01,0.04,0.06,0.02,0.03,0.02,0.16,0.04,0.03,0.06,0.03,0.15,0.01,0.04,0.05,0.03,0.123663905038,0.0055342213886,22.3453122589
44,0.05,0.05,0.03,0.05,0.08,0.03,0.02,0.08,0.2,0.01,0.08,0.01,0.03,0.02,0.03,0.01,0.02,0.18,0.02,0.0796963322125,0.00525939280831,15.1531431702
45,0.04,0.01,0.18,0.01,0.13,0.14,0.02,0.06,0.01,0.03,0.06,0.01,0.1,0.04,0.01,0.04,0.04,0.05,0.02,0.113259675242,0.00669038939008,16.9287120133
46,0.11,0.04,0.1,0.09,0.01,0.01,0.04,0.06,0.01,0.02,0.07,0.1,0.04,0.04,0.09,0.01,0.06,0.08,0.02,0.123162108848,0.00644520454878,19.1091078516
47,0.06,0.02,0.03,0.13,0.03,0.07,0.05,0.11,0.05,0.03,0.04,0.03,0.02,0.19,0.02,0.02,0.02,0.02,0.06,0.0817161615065,0.00576820228632,14.1666601569
48,0.05,0.01,0.24,0.11,0.02,0.01,0.01,0.02,0.09,0.07,0.12,0.01,0.1,0.04,0.04,0.03,0.01,0.01,0.01,0.0989885765536,0.00691049150441,14.3243901668
49,0.03,0.03,0.05,0.01,0.02,0.01,0.06,0.01,0.12,0.06,0.05,0.07,0.01,0.03,0.02,0.08,0.1,0.12,0.12,0.117087617132,0.00571376416893,20.4922033305
50,0.07,0.04,0.03,0.07,0.08,0.06,0.06,0.04,0.01,0.13,0.01,0.03,0.01,0.1,0.01,0.1,0.11,0.03,0.01,0.123235097027,0.00513849445803,23.9827245186
51,0.07,0.02,0.19,0.05,0.02,0.11,0.01,0.06,0.06,0.01,0.03,0.05,0.02,0.1,0.01,0.13,0.01,0.03,0.02,0.124201382927,0.00599632190873,20.7129278276
52,0.05,0.08,0.01,0.03,0.06,0.01,0.2,0.01,0.01,0.05,0.06,0.05,0.01,0.05,0.04,0.03,0.08,0.16,0.01,0.124840216117,0.0051822315766,24.0900496768
53,0.06,0.02,0.03,0.02,0.03,0.07,0.04,0.09,0.11,0.08,0.03,0.16,0.02,0.03,0.03,0.03,0.03,0.05,0.07,0.158070020455,0.00642582485814,24.5991797076
54,0.01,0.04,0.04,0.11,0.14,0.01,0.01,0.02,0.03,0.03,0.01,0.05,0.12,0.15,0.05,0.01,0.01,0.09,0.07,0.0830382158676,0.00664426396142,12.4977298238
