,aap,adsk,avgo,bud,chtr,cmcsa,crc,dltr,dspg,fb,goog,lbrdk,low,lsxma,lyb,mar,mgm,mpc,pcln,portfolioreturn,portfoliostandarddeviation,px,sbac,stz,unp,wlk,returnoverrisk
0,0.03,0.06,0.02,0.02,0.02,0.02,0.02,0.11,0.02,0.03,0.01,0.15,0.01,0.03,0.1,0.01,0.1,0.01,0.02,0.133058071712,0.00873903102336,0.02,0.09,0.05,0.04,0.01,15.2257236937
1,0.01,0.12,0.08,0.16,0.01,0.03,0.07,0.02,0.02,0.06,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.130351359344,0.010331935308,0.07,0.16,0.01,0.01,0.03,12.61635458
2,0.02,0.01,0.02,0.01,0.14,0.01,0.05,0.04,0.01,0.01,0.03,0.08,0.05,0.01,0.08,0.01,0.01,0.01,0.02,0.111883916771,0.0122208825547,0.03,0.17,0.07,0.09,0.02,9.15514213234
3,0.01,0.01,0.01,0.01,0.01,0.14,0.07,0.01,0.02,0.02,0.01,0.1,0.09,0.02,0.09,0.01,0.08,0.06,0.01,0.0983386173382,0.00675567963124,0.05,0.02,0.08,0.01,0.06,14.5564358741
4,0.07,0.02,0.01,0.01,0.03,0.04,0.03,0.04,0.02,0.04,0.06,0.04,0.02,0.1,0.22,0.03,0.03,0.08,0.03,0.0764265063074,0.00717299469411,0.02,0.01,0.01,0.02,0.02,10.6547557285
5,0.04,0.19,0.02,0.04,0.02,0.04,0.1,0.04,0.04,0.03,0.02,0.05,0.02,0.01,0.05,0.02,0.03,0.03,0.08,0.0948867954347,0.00791566407543,0.01,0.06,0.04,0.01,0.01,11.9872185745
6,0.02,0.04,0.07,0.1,0.02,0.01,0.03,0.1,0.02,0.01,0.01,0.03,0.02,0.01,0.01,0.08,0.02,0.12,0.03,0.127657273831,0.00692093064659,0.08,0.02,0.06,0.06,0.03,18.4451023063
7,0.05,0.02,0.01,0.02,0.03,0.03,0.01,0.05,0.08,0.07,0.1,0.02,0.03,0.03,0.05,0.08,0.01,0.04,0.08,0.128317067978,0.00765414291008,0.07,0.05,0.05,0.01,0.01,16.7643940654
8,0.02,0.01,0.01,0.05,0.01,0.09,0.01,0.08,0.01,0.01,0.06,0.01,0.01,0.03,0.09,0.01,0.06,0.08,0.02,0.133119380098,0.007682603651,0.07,0.04,0.12,0.06,0.04,17.3273783401
9,0.02,0.07,0.02,0.02,0.05,0.03,0.03,0.02,0.1,0.03,0.01,0.01,0.08,0.02,0.02,0.01,0.03,0.08,0.06,0.129751486272,0.0081218202605,0.1,0.08,0.01,0.07,0.03,15.9756658127
10,0.02,0.02,0.02,0.02,0.05,0.03,0.02,0.07,0.03,0.03,0.08,0.04,0.02,0.04,0.03,0.02,0.06,0.01,0.24,0.115619015577,0.00724939407781,0.01,0.03,0.02,0.04,0.05,15.9487833516
11,0.05,0.02,0.02,0.03,0.01,0.04,0.02,0.06,0.03,0.05,0.15,0.04,0.01,0.02,0.04,0.04,0.01,0.08,0.12,0.106930202015,0.00721735255495,0.04,0.04,0.03,0.02,0.03,14.8157099436
12,0.07,0.02,0.01,0.04,0.02,0.06,0.04,0.01,0.03,0.07,0.02,0.11,0.13,0.04,0.01,0.01,0.01,0.05,0.01,0.0862200272369,0.00753917075532,0.1,0.07,0.05,0.01,0.01,11.4362746295
13,0.02,0.01,0.04,0.01,0.01,0.02,0.03,0.07,0.03,0.05,0.03,0.02,0.1,0.03,0.03,0.03,0.07,0.04,0.11,0.122106632381,0.00941001039307,0.01,0.12,0.01,0.07,0.04,12.9762484078
14,0.05,0.01,0.03,0.05,0.01,0.02,0.06,0.01,0.03,0.02,0.12,0.03,0.06,0.02,0.04,0.01,0.1,0.06,0.07,0.076623082345,0.00769698971777,0.01,0.05,0.01,0.12,0.01,9.95494149721
15,0.02,0.09,0.02,0.01,0.1,0.04,0.01,0.03,0.01,0.01,0.07,0.04,0.05,0.01,0.01,0.01,0.01,0.05,0.08,0.150914956203,0.00720787899781,0.04,0.04,0.04,0.05,0.16,20.9374985691
16,0.02,0.03,0.02,0.01,0.05,0.12,0.01,0.05,0.01,0.02,0.02,0.06,0.04,0.05,0.02,0.01,0.09,0.01,0.03,0.1140928066,0.00822608551254,0.02,0.01,0.01,0.22,0.07,13.8696353723
17,0.02,0.02,0.04,0.02,0.13,0.04,0.04,0.02,0.03,0.02,0.07,0.08,0.01,0.04,0.04,0.03,0.01,0.01,0.11,0.110255985951,0.00759972072382,0.05,0.04,0.02,0.04,0.07,14.5078996923
18,0.08,0.02,0.07,0.06,0.01,0.01,0.1,0.03,0.13,0.04,0.08,0.01,0.1,0.01,0.06,0.02,0.02,0.03,0.02,0.0519015502671,0.00648294641727,0.01,0.01,0.01,0.01,0.06,8.0058582821
19,0.12,0.01,0.14,0.06,0.04,0.04,0.02,0.02,0.01,0.03,0.07,0.03,0.03,0.01,0.04,0.03,0.01,0.03,0.06,0.0715573736522,0.00769107640512,0.01,0.03,0.1,0.05,0.01,9.30394783291
20,0.06,0.05,0.03,0.01,0.11,0.05,0.02,0.01,0.02,0.01,0.03,0.02,0.04,0.02,0.01,0.01,0.04,0.13,0.01,0.119758232549,0.00842260065111,0.12,0.07,0.1,0.02,0.01,14.218676334
21,0.03,0.02,0.05,0.03,0.06,0.01,0.02,0.02,0.1,0.08,0.04,0.02,0.07,0.1,0.02,0.06,0.01,0.02,0.07,0.123158441882,0.0067235871993,0.05,0.01,0.01,0.06,0.04,18.3173711043
22,0.06,0.03,0.01,0.03,0.01,0.02,0.03,0.08,0.02,0.12,0.01,0.03,0.05,0.02,0.05,0.02,0.06,0.04,0.02,0.118742327184,0.00733502161153,0.02,0.05,0.03,0.1,0.09,16.1884086337
23,0.03,0.01,0.03,0.01,0.02,0.1,0.08,0.03,0.08,0.04,0.09,0.02,0.02,0.03,0.03,0.03,0.01,0.06,0.01,0.0826766935603,0.00743250781738,0.12,0.04,0.02,0.07,0.02,11.1236604914
