,ALGN,CELG,FB,MRK,MSFT,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.15,0.18,0.22,0.27,0.13,0.05,0.24019594430575678,0.00790383887637919,30.389782492098625
1,0.03,0.37,0.08,0.4,0.1,0.02,0.13002326572038783,0.006791512514515791,19.144964460049735
2,0.17,0.36,0.35,0.03,0.05,0.04,0.3088192508502754,0.010356895114910343,29.817744355225013
3,0.02,0.4,0.16,0.07,0.33,0.02,0.1910937433778606,0.008719991677485937,21.914441027649566
4,0.16,0.02,0.22,0.4,0.04,0.16,0.21841599400308392,0.007372488736395885,29.625815896445676
5,0.08,0.33,0.09,0.11,0.09,0.3,0.20638736900778717,0.007643670755893686,27.001080449292154
6,0.01,0.2,0.02,0.16,0.38,0.23,0.14877257159821197,0.00742478141466676,20.037299859673944
7,0.29,0.06,0.26,0.02,0.35,0.02,0.37903849864810635,0.010235322603789648,37.032393928430416
8,0.03,0.03,0.28,0.37,0.09,0.2,0.1450159903230497,0.007730525085754226,18.758879728659632
9,0.01,0.59,0.02,0.31,0.01,0.06,0.12826030673892966,0.0075439531357304745,17.001736944977765
10,0.06,0.01,0.15,0.55,0.05,0.18,0.12075248556429999,0.006363256355595124,18.976523782217885
11,0.2,0.34,0.16,0.12,0.01,0.17,0.2910505202680653,0.00843238851281837,34.51578634281724
12,0.14,0.07,0.32,0.1,0.02,0.35,0.2629786869223297,0.00914256184977674,28.764222899815717
13,0.14,0.3,0.25,0.01,0.04,0.26,0.27748942122917986,0.00924708666076529,30.008307633424387
14,0.04,0.16,0.09,0.09,0.56,0.06,0.19211351950980457,0.008806159405032963,21.815812168924218
15,0.11,0.47,0.21,0.06,0.05,0.1,0.25185522326166315,0.009066431327532546,27.7788706673198
16,0.15,0.11,0.21,0.01,0.08,0.44,0.27380668706272526,0.008701782719079369,31.465585375095813
17,0.18,0.28,0.13,0.23,0.1,0.08,0.2584361933820757,0.00765369202851084,33.76621275318795
18,0.02,0.43,0.25,0.08,0.09,0.13,0.19317991167134183,0.009196613764191404,21.00554797935747
19,0.11,0.11,0.04,0.16,0.55,0.03,0.22039454060589309,0.008571458698857313,25.71260602763851
20,0.02,0.42,0.1,0.33,0.07,0.06,0.13703145898718358,0.007152460149120616,19.158646973241982
21,0.04,0.08,0.19,0.27,0.03,0.39,0.15602868001703385,0.007161087899120169,21.788404529457594
22,0.12,0.32,0.17,0.11,0.17,0.11,0.24482916382578418,0.008208187049637775,29.827434772772193
23,0.03,0.24,0.28,0.1,0.18,0.17,0.19636525929517246,0.008978790877723946,21.86990007556001
24,0.09,0.01,0.43,0.29,0.11,0.07,0.21466377429869027,0.009811384796143418,21.87904956933996
25,0.14,0.24,0.18,0.21,0.11,0.12,0.23938510195408258,0.007764329579220451,30.831393684619602
26,0.06,0.28,0.02,0.07,0.31,0.26,0.1963550825437841,0.0076998131798766195,25.501278791666792
27,0.15,0.35,0.3,0.08,0.07,0.05,0.2823769076643953,0.009561809474639181,29.531743799470647
28,0.52,0.01,0.27,0.13,0.06,0.01,0.5059842275118401,0.011629501663817642,43.50867665173364
29,0.24,0.23,0.08,0.04,0.1,0.31,0.31941364944321543,0.008487478517463492,37.63351492271855
30,0.13,0.19,0.12,0.07,0.14,0.35,0.2458551833359633,0.007870312553721805,31.23829983342916
31,0.09,0.07,0.18,0.2,0.42,0.04,0.21154735519168075,0.008389146625620455,25.21679076935133
32,0.11,0.2,0.13,0.05,0.37,0.14,0.2447399588449307,0.008425657108280766,29.046987754153843
33,0.07,0.12,0.37,0.18,0.02,0.24,0.21183235152257957,0.009363215833363104,22.623888554162814
34,0.03,0.21,0.21,0.41,0.12,0.02,0.1384856784062381,0.007354661502492054,18.829646797383347
35,0.17,0.16,0.15,0.03,0.27,0.22,0.2853904851006664,0.008513650197207893,33.52151879510648
36,0.42,0.1,0.01,0.01,0.11,0.35,0.4316795687057718,0.0102353939541463,42.175178663338194
37,0.15,0.09,0.38,0.25,0.04,0.09,0.2555745157984139,0.009384573721660745,27.23347094695592
38,0.07,0.24,0.22,0.09,0.15,0.23,0.21659948022023454,0.008401428116666542,25.781269233328313
39,0.02,0.14,0.17,0.32,0.18,0.17,0.14005357415128644,0.0070780290626405356,19.787086618578808
40,0.12,0.02,0.14,0.07,0.19,0.46,0.23689040452961613,0.007899918714921078,29.986435693595958
41,0.02,0.25,0.09,0.25,0.29,0.1,0.14896860718517074,0.0072095776172333564,20.662598434211294
42,0.05,0.25,0.35,0.04,0.26,0.05,0.23000765589660516,0.010163982764081982,22.629677876808127
43,0.31,0.04,0.21,0.21,0.07,0.16,0.3478894159388837,0.008835631232142028,39.37346487179554
44,0.13,0.08,0.02,0.15,0.06,0.56,0.21537633329490768,0.007284531371582611,29.566257911264344
45,0.01,0.16,0.09,0.39,0.05,0.3,0.10986141198446564,0.006275465005510055,17.50649742895608
46,0.09,0.09,0.53,0.05,0.17,0.07,0.26739212979575844,0.012005431412977653,22.272596510502108
47,0.08,0.24,0.09,0.03,0.11,0.45,0.21574260265930933,0.007924290097341885,27.225480138804837
48,0.6,0.01,0.08,0.01,0.05,0.25,0.5549574606413901,0.012446367941168095,44.587904139149785
49,0.03,0.04,0.3,0.15,0.19,0.29,0.1841277113193511,0.008713837616145957,21.130496048971466
50,0.38,0.2,0.06,0.12,0.13,0.11,0.398621595955983,0.009414968383816173,42.33913271989232
51,0.08,0.32,0.29,0.28,0.01,0.02,0.20120789449545404,0.00862871436187417,23.31840944747085
52,0.05,0.27,0.18,0.2,0.01,0.29,0.17842533655844445,0.007674632414491298,23.248714325593028
53,0.02,0.04,0.08,0.17,0.05,0.64,0.14398229578457716,0.0070869299059201805,20.31659656522061
54,0.05,0.04,0.27,0.45,0.04,0.15,0.14390256061419449,0.007479601559608462,19.239335072512528
55,0.26,0.13,0.12,0.17,0.02,0.3,0.31156330602827903,0.008143890466222195,38.25730556182292
56,0.15,0.36,0.16,0.06,0.09,0.18,0.2700355156797686,0.008483902983937685,31.829161199865037
57,0.33,0.02,0.54,0.02,0.03,0.06,0.42635126771004345,0.012700393630834118,33.56992547655723
58,0.09,0.06,0.19,0.35,0.11,0.2,0.17941107028088102,0.007037579358273712,25.49329267171344
59,0.11,0.04,0.05,0.2,0.23,0.37,0.20222294319545733,0.007047343090052999,28.694919576270628
60,0.18,0.09,0.3,0.01,0.38,0.04,0.31374375358578704,0.010108840457542758,31.036571890071297
61,0.15,0.3,0.06,0.02,0.19,0.28,0.26547419623381274,0.008139712131592184,32.61469102862292
62,0.17,0.26,0.39,0.06,0.05,0.07,0.3052931305421191,0.010457071891234663,29.19489640288523
63,0.12,0.07,0.04,0.03,0.44,0.3,0.2414371211612665,0.008384768825273135,28.79472603150769
64,0.3,0.02,0.43,0.01,0.15,0.09,0.3989344895296164,0.01140441745954315,34.9806985709551
65,0.1,0.09,0.19,0.08,0.43,0.11,0.2385082753374513,0.008844409018846115,26.967124070045358
66,0.05,0.03,0.17,0.66,0.01,0.08,0.09927878571486609,0.006596762808128371,15.049621852787732
67,0.14,0.22,0.11,0.1,0.02,0.41,0.24395151205755808,0.007819098345773283,31.19944286024095
68,0.02,0.45,0.31,0.11,0.05,0.06,0.19509458501352447,0.009781219647855057,19.945834163565394
69,0.12,0.46,0.18,0.01,0.03,0.2,0.26150255176055287,0.009072378745010018,28.82403381851582
70,0.09,0.01,0.02,0.25,0.02,0.61,0.16965986668125765,0.006766339801656842,25.074097910322777
71,0.06,0.61,0.04,0.04,0.24,0.01,0.2130692757394697,0.008617783020835082,24.72437229207737
72,0.16,0.35,0.1,0.24,0.14,0.01,0.2439759118811868,0.007580867256874307,32.1831135692226
73,0.17,0.06,0.61,0.06,0.06,0.04,0.3239754159368111,0.013009341755343781,24.903290422340806
74,0.18,0.41,0.06,0.06,0.27,0.02,0.2862961503112335,0.008452834286163438,33.86984064976592
75,0.16,0.15,0.33,0.03,0.15,0.18,0.29537014388675165,0.009742438617876055,30.317886052141755
76,0.01,0.29,0.09,0.13,0.21,0.27,0.15909691183023056,0.007488155554250029,21.246475273865325
77,0.04,0.35,0.13,0.09,0.06,0.33,0.18704426129150867,0.007987075556548805,23.418366330358094
78,0.42,0.1,0.05,0.15,0.27,0.01,0.42070526253732804,0.010040727012937763,41.89988055598338
79,0.13,0.19,0.4,0.12,0.05,0.11,0.2680978903775678,0.010132499384569022,26.459206184197676
80,0.05,0.05,0.27,0.19,0.31,0.13,0.19238822152928564,0.00862872400789882,22.296253925049818
81,0.05,0.03,0.02,0.46,0.01,0.43,0.11176078682581193,0.005948377016263964,18.78845044963311
82,0.47,0.07,0.03,0.04,0.24,0.15,0.46622114650224517,0.010834275458771359,43.032055837642154
83,0.19,0.01,0.23,0.27,0.08,0.22,0.26015653601342736,0.00790285246268771,32.91932087075175
84,0.31,0.13,0.03,0.05,0.43,0.05,0.3662694998276952,0.009598940036193942,38.15728595518178
85,0.13,0.05,0.27,0.16,0.33,0.06,0.2510902825073318,0.008964314246871172,28.00998220192584
86,0.21,0.1,0.03,0.09,0.36,0.21,0.2898950851104237,0.008349314211041054,34.720825900535544
87,0.04,0.31,0.18,0.11,0.2,0.16,0.19311184468055625,0.008183429316055278,23.5979119782565
88,0.12,0.14,0.26,0.1,0.36,0.02,0.25658013408440805,0.009217617866296391,27.83583978053335
89,0.07,0.18,0.37,0.07,0.26,0.05,0.23863237751833183,0.010169661324565708,23.46512532741817
90,0.1,0.16,0.16,0.1,0.2,0.28,0.22686307621563476,0.007884492479466059,28.773326476810595
91,0.23,0.26,0.03,0.2,0.1,0.18,0.2839496457749072,0.007726525095289321,36.749980395200495
92,0.26,0.27,0.02,0.12,0.1,0.23,0.31523692777922796,0.00825627337536588,38.18150313672942
93,0.06,0.2,0.09,0.15,0.36,0.14,0.19124956829821038,0.0077013894053530145,24.833125327395898
94,0.42,0.06,0.05,0.25,0.17,0.05,0.40084756518184883,0.009636266720819672,41.59780720014693
95,0.07,0.12,0.24,0.02,0.49,0.06,0.23642574527422813,0.009705247521683077,24.36060953067041
