,agg,portfolioreturn,portfoliostandarddeviation,shy,spy,returnoverrisk
0,0.13,0.0266327192202,0.00270488589107,0.58,0.29,9.84615258936
1,0.79,0.0331093051816,0.00148217893113,0.01,0.2,22.3382646226
2,0.56,0.0212073418841,0.00171218007764,0.35,0.09,12.3861632085
3,0.65,0.0263392620769,0.00134901677554,0.21,0.14,19.5247846835
4,0.57,0.0193516675151,0.0017925159825,0.37,0.06,10.795813094
5,0.23,0.0524242354806,0.000825067690546,0.13,0.64,63.5393145087
6,0.6,0.0294771056213,0.00128335812253,0.2,0.2,22.9687295414
7,0.12,0.00733768499737,0.00412173614188,0.87,0.01,1.78024132181
8,0.51,0.0448136130981,0.00108602266442,0.04,0.45,41.2639759428
9,0.68,0.0378292620278,0.00132523868509,0.02,0.3,28.5452443047
10,0.73,0.0196812381924,0.00150816464716,0.25,0.02,13.0497941518
11,0.41,0.0244803442163,0.0019096014801,0.41,0.18,12.8196089453
12,0.91,0.0258513930441,0.00160690468321,0.03,0.06,16.0876953775
13,0.48,0.0224071183901,0.00184141232527,0.39,0.13,12.1684416263
14,0.41,0.0156106922261,0.00249141281819,0.54,0.05,6.26579911292
15,0.91,0.0258513930441,0.00160690468321,0.03,0.06,16.0876953775
16,0.14,0.0554796863556,0.000816993221028,0.15,0.71,67.907156299
17,0.26,0.0236596610146,0.00244840173257,0.53,0.21,9.66330839413
18,0.36,0.0528625818865,0.000914852033123,0.03,0.61,57.7826577113
19,0.7,0.0204722948433,0.00150833222707,0.26,0.04,13.5728021161
20,0.65,0.0399848805233,0.00130281121648,0.01,0.34,30.6912314061
21,0.74,0.0205546875126,0.00147221993495,0.23,0.03,13.961696228
22,0.21,0.0329380328598,0.00198390635905,0.43,0.36,16.6026146897
23,0.22,0.0535976289273,0.000797445892515,0.12,0.66,67.2116182808
24,0.16,0.0149251678122,0.00342618021051,0.73,0.11,4.35621213573
25,0.71,0.0254394296974,0.00135512294522,0.18,0.11,18.7727835228
26,0.18,0.0466924270348,0.00118982610385,0.25,0.57,39.2430682801
27,0.3,0.0421636385865,0.00115688205399,0.23,0.47,36.44592674
28,0.03,0.0642933287357,0.000626253195252,0.1,0.87,102.663474172
29,0.76,0.0318535190656,0.00138960970286,0.05,0.19,22.922637198
30,0.11,0.0392137199485,0.00189718870372,0.41,0.48,20.6693830043
31,0.01,0.0270678221346,0.00312371644155,0.66,0.33,8.66526224163
32,0.36,0.0364878397508,0.00132739754147,0.27,0.37,27.4882532255
33,0.55,0.0155579261076,0.00206848241396,0.44,0.01,7.52142053644
34,0.27,0.0429546952374,0.00117976816687,0.24,0.49,36.4094374164
35,0.51,0.0332148374186,0.00123021260136,0.21,0.28,26.9992661284
36,0.1,0.0410693943175,0.00180458065009,0.39,0.51,22.7584144357
37,0.01,0.0482185307265,0.00162824789106,0.35,0.64,29.6137529127
38,0.47,0.0242627927591,0.00175663307619,0.37,0.16,13.8121005963
39,0.24,0.0355583808205,0.00171180488105,0.37,0.39,20.7724497191
40,0.56,0.0328061175635,0.00120770135974,0.18,0.26,27.1640975634
41,0.02,0.0306703951441,0.00282771276017,0.6,0.38,10.8463616164
42,0.41,0.0401728054296,0.00107805710542,0.18,0.41,37.264079266
43,0.3,0.032611705674,0.00171824564803,0.37,0.33,18.9796527123
44,0.45,0.0259272987303,0.00170990397852,0.36,0.19,15.1630144476
45,0.04,0.0160425516489,0.00380154409212,0.8,0.16,4.22000935939
46,0.31,0.0239332220818,0.00225973566442,0.49,0.2,10.5911600452
47,0.24,0.0471571564999,0.0010256455126,0.2,0.56,45.9780264434
48,0.12,0.0380403265018,0.00194309419523,0.42,0.46,19.57719116
49,0.22,0.0447279769371,0.00120050492549,0.25,0.53,37.2576371721
50,0.02,0.0661490031047,0.000581514039192,0.08,0.9,113.753062947
51,0.58,0.0229542405246,0.00157823041366,0.31,0.11,14.5442898109
52,0.46,0.0261184671282,0.00167305235689,0.35,0.19,15.6112670477
53,0.4,0.0236068948961,0.00199504338961,0.43,0.17,11.83277267
54,0.71,0.0302153961537,0.00130027784187,0.11,0.18,23.2376459712
55,0.53,0.039055421593,0.00109186089805,0.11,0.36,35.7695945177
56,0.27,0.0368141669365,0.00154093610515,0.33,0.4,23.8907809438
57,0.12,0.0134782132983,0.00368042656831,0.78,0.1,3.66213346418
58,0.61,0.0310328358638,0.00123912697433,0.17,0.22,25.0441129173
59,0.03,0.0301792826197,0.00282501975384,0.6,0.37,10.6828572008
60,0.14,0.0234124830066,0.00289622138381,0.62,0.24,8.08380296391
61,0.41,0.0504070192644,0.000974854334588,0.03,0.56,51.7072320202
62,0.29,0.0194571997521,0.00263483870624,0.57,0.14,7.38458855411
63,0.04,0.0556148451434,0.00104329185567,0.22,0.74,53.3070826167
64,0.32,0.0336763233922,0.00159306417321,0.34,0.34,21.1393388657
65,0.04,0.0139957088819,0.00394906372389,0.83,0.13,3.54405749323
66,0.77,0.0327269683858,0.00142617684648,0.03,0.2,22.9473423766
67,0.13,0.0395960567443,0.00180224886445,0.39,0.48,21.9703602124
68,0.58,0.0168137122237,0.00191391428867,0.4,0.02,8.78498704105
69,0.19,0.0393785052872,0.00161936957122,0.35,0.46,24.3171824314
70,0.28,0.0172191885872,0.00282572778586,0.61,0.11,6.09371811162
71,0.12,0.0455454166473,0.00143797832839,0.31,0.57,31.6732288297
72,0.4,0.0133726810613,0.0026764918346,0.58,0.02,4.99634666857
73,0.06,0.0635022720848,0.000624241556441,0.09,0.85,101.727082136
74,0.01,0.0509476544158,0.00144227302083,0.31,0.68,35.3245562247
75,0.52,0.0183958255255,0.00197688720962,0.42,0.06,9.30545022294
76,0.25,0.0152811215488,0.00306931608417,0.66,0.09,4.97867314077
77,0.31,0.0368965596059,0.00142558903698,0.3,0.39,25.8816241208
78,0.08,0.0188540680075,0.00344649621101,0.73,0.19,5.47050304226
79,0.41,0.0469956146528,0.00094732323074,0.08,0.51,49.6088485196
80,0.49,0.0164577584871,0.0021843322248,0.47,0.04,7.53445757941
81,0.68,0.0296418909599,0.00127912932733,0.14,0.18,23.1734902223
82,0.13,0.023903595531,0.0028983115899,0.62,0.25,8.24742088264
83,0.38,0.0409638620805,0.00108059428602,0.19,0.43,37.9086421336
84,0.09,0.0483833160651,0.00134830225926,0.29,0.62,35.8846213694
85,0.01,0.0181981701444,0.0037617855399,0.79,0.2,4.83764158041
86,0.4,0.0488512890219,0.000938973454815,0.06,0.54,52.0262727038
87,0.13,0.00752885339529,0.00406981880641,0.86,0.01,1.84992348638
88,0.39,0.0472955587793,0.000927607499642,0.09,0.52,50.9866067249
89,0.18,0.0166720664527,0.00322721459206,0.69,0.13,5.16608548242
90,0.27,0.0361318860142,0.00158378460129,0.34,0.39,22.8136363901
91,0.28,0.0131255030533,0.00311284166178,0.67,0.05,4.21656623734
92,0.22,0.0392697295586,0.00153358294168,0.33,0.45,25.6065247541
93,0.07,0.0254857088328,0.00300953004573,0.64,0.29,8.46833507075
94,0.54,0.037199747224,0.00111736861705,0.13,0.33,33.2922785339
95,0.4,0.0338411087309,0.00138154377067,0.28,0.32,24.495140472
