,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.1,0.04,0.16,0.01,0.04,0.07,0.11,0.06,0.08,0.01,0.03,0.03,0.05,0.04,0.03,0.04,0.03,0.03,0.04,0.552794573647,0.00955306479218,57.8656782586
1,0.04,0.13,0.02,0.04,0.07,0.07,0.05,0.01,0.02,0.03,0.11,0.04,0.09,0.05,0.08,0.03,0.02,0.01,0.09,0.695317933235,0.00973490901235,71.4252113043
2,0.04,0.11,0.01,0.01,0.05,0.05,0.04,0.02,0.03,0.01,0.11,0.04,0.11,0.12,0.04,0.04,0.12,0.01,0.04,0.636623537146,0.00926828375095,68.6883952038
3,0.03,0.2,0.01,0.1,0.05,0.01,0.12,0.02,0.04,0.05,0.01,0.14,0.08,0.02,0.07,0.01,0.01,0.01,0.02,0.640451931886,0.010048069909,63.7388013504
4,0.05,0.01,0.12,0.09,0.04,0.1,0.08,0.08,0.08,0.01,0.05,0.01,0.03,0.04,0.01,0.06,0.07,0.04,0.03,0.5076445384,0.00930452575546,54.5588836812
5,0.1,0.01,0.17,0.03,0.09,0.17,0.01,0.02,0.03,0.01,0.05,0.02,0.08,0.05,0.01,0.04,0.04,0.01,0.06,0.682481654315,0.0101586221809,67.1825019342
6,0.03,0.11,0.04,0.06,0.09,0.03,0.01,0.16,0.01,0.02,0.03,0.05,0.01,0.12,0.09,0.04,0.06,0.03,0.01,0.494155129958,0.0094290008491,52.4080056696
7,0.02,0.03,0.09,0.01,0.21,0.04,0.05,0.06,0.01,0.04,0.01,0.09,0.01,0.02,0.03,0.01,0.08,0.15,0.04,0.612607559903,0.00924692268126,66.2498845313
8,0.03,0.06,0.05,0.01,0.2,0.03,0.06,0.02,0.09,0.06,0.03,0.02,0.09,0.07,0.05,0.01,0.01,0.04,0.07,0.728972060136,0.0090685334205,80.3847795817
9,0.01,0.08,0.07,0.02,0.01,0.05,0.06,0.18,0.05,0.03,0.02,0.06,0.03,0.06,0.02,0.07,0.04,0.09,0.05,0.457669954445,0.00882447542526,51.8637009442
