,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.09,0.02,0.01,0.05,0.02,0.13,0.08,0.01,0.11,0.02,0.08,0.03,0.01,0.01,0.17,0.01,0.04,0.1,0.01,0.120130211695,0.00545719691499,22.0131715175
1,0.09,0.04,0.07,0.02,0.01,0.07,0.03,0.02,0.1,0.01,0.07,0.04,0.03,0.19,0.04,0.05,0.02,0.08,0.02,0.0969926646642,0.00546436213922,17.7500433158
2,0.02,0.03,0.02,0.01,0.05,0.01,0.03,0.03,0.06,0.09,0.03,0.03,0.11,0.21,0.02,0.09,0.07,0.08,0.01,0.0810277521414,0.00566445900011,14.3045879827
3,0.03,0.02,0.01,0.03,0.01,0.09,0.01,0.1,0.04,0.04,0.09,0.04,0.07,0.1,0.06,0.04,0.14,0.07,0.01,0.0844988262768,0.00584273173493,14.4622122169
4,0.1,0.04,0.15,0.03,0.02,0.02,0.07,0.02,0.02,0.08,0.02,0.01,0.19,0.08,0.02,0.05,0.01,0.03,0.04,0.0880132905132,0.00541231112471,16.2616834999
5,0.05,0.07,0.06,0.1,0.03,0.03,0.04,0.02,0.07,0.07,0.06,0.02,0.02,0.05,0.08,0.1,0.05,0.05,0.03,0.108781320822,0.00589539760546,18.451905724
6,0.09,0.02,0.2,0.02,0.06,0.08,0.01,0.05,0.02,0.03,0.05,0.07,0.02,0.11,0.05,0.04,0.02,0.01,0.05,0.139994095263,0.00571544826559,24.4939834564
7,0.01,0.06,0.08,0.01,0.01,0.05,0.05,0.02,0.14,0.04,0.04,0.04,0.09,0.01,0.04,0.13,0.04,0.09,0.05,0.107844510055,0.00665537280458,16.2041275855
8,0.01,0.08,0.01,0.03,0.08,0.06,0.07,0.02,0.01,0.11,0.01,0.03,0.04,0.01,0.12,0.03,0.01,0.16,0.11,0.100855426595,0.00605075072838,16.6682501266
9,0.12,0.01,0.04,0.03,0.06,0.03,0.07,0.06,0.02,0.14,0.02,0.01,0.02,0.04,0.03,0.04,0.05,0.11,0.1,0.0996168533732,0.00659921685505,15.0952538098
10,0.03,0.15,0.08,0.07,0.01,0.01,0.01,0.04,0.08,0.1,0.01,0.03,0.05,0.02,0.03,0.12,0.04,0.08,0.04,0.0962663094601,0.00642830771813,14.9753735635
11,0.02,0.03,0.02,0.1,0.05,0.03,0.01,0.04,0.19,0.07,0.1,0.01,0.09,0.03,0.11,0.04,0.01,0.01,0.04,0.0990561147559,0.00673378521489,14.7103169458
