,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.06,0.01,0.07,0.03,0.07,0.01,0.04,0.05,0.02,0.15,0.05,0.04,0.17,0.03,0.05,0.06,0.03,0.04,0.02,0.11138428829,0.00576028775267,19.3365840515
1,0.03,0.01,0.03,0.08,0.02,0.03,0.06,0.03,0.18,0.01,0.14,0.18,0.04,0.01,0.04,0.03,0.03,0.03,0.02,0.170538829589,0.00641321798104,26.5917718832
2,0.17,0.06,0.01,0.02,0.06,0.01,0.05,0.05,0.05,0.02,0.09,0.08,0.04,0.02,0.08,0.03,0.03,0.03,0.1,0.143218914549,0.00594167301322,24.1041393948
3,0.04,0.06,0.06,0.03,0.01,0.12,0.01,0.03,0.07,0.02,0.04,0.08,0.11,0.02,0.03,0.09,0.01,0.06,0.11,0.108595560228,0.00612839948772,17.720052429
4,0.03,0.08,0.28,0.03,0.01,0.01,0.02,0.02,0.07,0.01,0.12,0.02,0.06,0.14,0.01,0.03,0.01,0.04,0.01,0.101124018801,0.00577031435427,17.5248717128
5,0.01,0.02,0.09,0.09,0.06,0.08,0.03,0.04,0.01,0.05,0.09,0.02,0.06,0.04,0.1,0.09,0.01,0.06,0.05,0.106863626464,0.00577551260148,18.5028817072
6,0.02,0.01,0.07,0.04,0.02,0.22,0.11,0.01,0.01,0.03,0.09,0.08,0.05,0.05,0.01,0.03,0.01,0.11,0.03,0.121641016631,0.00526147999849,23.1191635558
7,0.01,0.03,0.01,0.13,0.01,0.02,0.02,0.03,0.1,0.01,0.14,0.11,0.03,0.04,0.09,0.02,0.05,0.14,0.01,0.107552374855,0.00578724231026,18.584391164
8,0.06,0.12,0.11,0.01,0.03,0.03,0.02,0.17,0.03,0.03,0.04,0.07,0.06,0.03,0.03,0.06,0.03,0.02,0.05,0.119705410304,0.00659938126515,18.1388838581
9,0.09,0.12,0.03,0.01,0.06,0.05,0.04,0.01,0.11,0.05,0.02,0.04,0.03,0.01,0.08,0.14,0.03,0.01,0.07,0.143705194509,0.00657252113907,21.8645465672
10,0.02,0.09,0.05,0.08,0.04,0.03,0.04,0.06,0.02,0.04,0.02,0.01,0.13,0.15,0.04,0.07,0.03,0.07,0.01,0.0647677945389,0.00527537468941,12.277382812
11,0.01,0.01,0.07,0.11,0.04,0.04,0.02,0.01,0.19,0.02,0.06,0.04,0.01,0.01,0.03,0.15,0.02,0.13,0.03,0.10480696462,0.00736771377235,14.2251677872
12,0.02,0.03,0.03,0.02,0.02,0.05,0.01,0.02,0.01,0.02,0.09,0.05,0.07,0.2,0.17,0.02,0.06,0.03,0.08,0.0986461163916,0.00517860993604,19.0487635891
13,0.03,0.05,0.04,0.04,0.01,0.02,0.08,0.01,0.09,0.11,0.01,0.02,0.01,0.1,0.11,0.05,0.01,0.03,0.18,0.105283221832,0.00669917345107,15.7158525005
14,0.04,0.04,0.11,0.04,0.01,0.03,0.03,0.13,0.05,0.08,0.03,0.08,0.12,0.06,0.05,0.04,0.02,0.01,0.03,0.113103339236,0.00608102526253,18.5993865103
15,0.08,0.04,0.01,0.15,0.07,0.07,0.08,0.12,0.01,0.06,0.08,0.07,0.04,0.02,0.01,0.03,0.01,0.02,0.03,0.120376818019,0.00603493893621,19.9466505447
16,0.01,0.03,0.06,0.09,0.07,0.06,0.04,0.02,0.04,0.03,0.08,0.05,0.04,0.07,0.01,0.01,0.16,0.11,0.02,0.0911568521064,0.005882849941,15.4953556559
17,0.15,0.03,0.05,0.09,0.05,0.01,0.02,0.03,0.13,0.08,0.05,0.03,0.07,0.01,0.07,0.05,0.01,0.01,0.06,0.117690184873,0.00636254627795,18.4973404879
18,0.09,0.13,0.04,0.03,0.06,0.07,0.01,0.03,0.02,0.01,0.01,0.06,0.04,0.01,0.11,0.04,0.06,0.03,0.15,0.121565181506,0.00613845153678,19.8038838911
19,0.03,0.03,0.01,0.04,0.03,0.02,0.16,0.04,0.12,0.03,0.04,0.14,0.08,0.04,0.02,0.12,0.01,0.03,0.01,0.166100297627,0.00599700383974,27.6972138197
20,0.01,0.02,0.01,0.23,0.04,0.03,0.09,0.01,0.02,0.11,0.01,0.02,0.07,0.02,0.08,0.02,0.08,0.12,0.01,0.068145877991,0.00560450099854,12.1591338834
21,0.09,0.03,0.11,0.01,0.02,0.01,0.06,0.01,0.01,0.15,0.12,0.04,0.06,0.03,0.06,0.07,0.01,0.04,0.07,0.13513964368,0.005979572548,22.6002180916
22,0.01,0.1,0.15,0.03,0.09,0.01,0.02,0.02,0.02,0.23,0.02,0.05,0.02,0.04,0.07,0.04,0.03,0.01,0.04,0.147965379271,0.00622452510992,23.7713522973
23,0.03,0.07,0.12,0.02,0.03,0.01,0.01,0.03,0.09,0.01,0.03,0.07,0.06,0.06,0.06,0.16,0.08,0.04,0.02,0.130414065636,0.00632576427981,20.6163334369
24,0.02,0.07,0.02,0.01,0.01,0.13,0.01,0.1,0.02,0.02,0.1,0.02,0.13,0.04,0.11,0.06,0.02,0.02,0.09,0.0896297539511,0.00586617991105,15.2790666686
25,0.02,0.01,0.03,0.08,0.09,0.01,0.03,0.06,0.04,0.1,0.03,0.1,0.03,0.13,0.01,0.05,0.03,0.06,0.09,0.11999535673,0.00630061755977,19.0450151261
26,0.01,0.13,0.03,0.03,0.01,0.12,0.02,0.02,0.07,0.03,0.13,0.05,0.03,0.09,0.11,0.02,0.02,0.04,0.04,0.11425353487,0.0052720637292,21.6715010931
27,0.05,0.01,0.01,0.03,0.09,0.04,0.04,0.03,0.04,0.02,0.06,0.04,0.05,0.04,0.06,0.04,0.01,0.3,0.04,0.0737161056409,0.00602814331167,12.2286584491
28,0.15,0.07,0.04,0.02,0.16,0.02,0.02,0.01,0.02,0.02,0.01,0.05,0.01,0.07,0.02,0.06,0.01,0.21,0.03,0.112851436905,0.00597661739088,18.8821585061
29,0.1,0.05,0.03,0.02,0.2,0.01,0.09,0.02,0.01,0.12,0.01,0.02,0.01,0.14,0.03,0.04,0.04,0.01,0.05,0.144082899352,0.00606082847787,23.7728059585
30,0.04,0.02,0.03,0.13,0.01,0.02,0.08,0.03,0.07,0.08,0.01,0.11,0.16,0.02,0.02,0.04,0.04,0.06,0.03,0.105450579775,0.00560721062832,18.806245523
31,0.08,0.12,0.05,0.07,0.04,0.02,0.04,0.03,0.02,0.01,0.03,0.03,0.01,0.1,0.06,0.08,0.14,0.06,0.01,0.101883254027,0.00558131475499,18.254346601
32,0.07,0.06,0.02,0.03,0.11,0.05,0.01,0.01,0.03,0.1,0.11,0.12,0.01,0.04,0.01,0.15,0.02,0.04,0.01,0.177769206859,0.0061416596821,28.9448155808
33,0.04,0.02,0.01,0.02,0.04,0.06,0.01,0.04,0.07,0.11,0.09,0.08,0.04,0.01,0.01,0.04,0.14,0.06,0.11,0.119171726549,0.00681808048554,17.4787796656
