,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.03,0.02,0.03,0.07,0.05,0.02,0.07,0.07,0.01,0.06,0.01,0.15,0.2,0.08,0.04,0.03,0.01,0.03,0.02,0.125927886027,0.0052653185379,23.9164800991
1,0.12,0.02,0.07,0.1,0.07,0.04,0.09,0.01,0.04,0.02,0.01,0.09,0.03,0.11,0.01,0.1,0.02,0.03,0.02,0.141350293999,0.00540964785753,26.1292967161
2,0.05,0.09,0.16,0.03,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0.23,0.02,0.02,0.02,0.01,0.06,0.13,0.05,0.168143075487,0.0056736119058,29.6359846741
3,0.02,0.03,0.06,0.04,0.01,0.03,0.24,0.01,0.11,0.03,0.03,0.02,0.05,0.01,0.13,0.03,0.06,0.08,0.01,0.125802799396,0.00545225801931,23.0735227406
4,0.01,0.01,0.07,0.03,0.06,0.02,0.07,0.14,0.04,0.09,0.01,0.07,0.06,0.02,0.03,0.03,0.13,0.04,0.07,0.116249168271,0.00694326539843,16.7427228544
5,0.03,0.11,0.06,0.04,0.02,0.23,0.01,0.03,0.02,0.15,0.08,0.01,0.03,0.01,0.01,0.04,0.05,0.03,0.04,0.10626042029,0.00579975033744,18.321550775
6,0.07,0.05,0.02,0.1,0.06,0.03,0.04,0.08,0.01,0.02,0.04,0.03,0.06,0.02,0.02,0.06,0.13,0.08,0.08,0.0837123215206,0.00639050048507,13.0994938059
7,0.01,0.01,0.17,0.03,0.03,0.07,0.11,0.01,0.02,0.02,0.16,0.03,0.02,0.11,0.08,0.01,0.04,0.06,0.01,0.124521849168,0.00536222882601,23.2220319588
8,0.02,0.09,0.04,0.02,0.06,0.01,0.01,0.01,0.01,0.07,0.06,0.04,0.14,0.07,0.11,0.13,0.02,0.07,0.02,0.108902802722,0.00555558515586,19.6024000473
9,0.03,0.02,0.08,0.04,0.02,0.03,0.01,0.01,0.13,0.04,0.02,0.16,0.16,0.09,0.01,0.02,0.04,0.03,0.06,0.126938837335,0.00598972787753,21.1927553188
10,0.06,0.01,0.01,0.07,0.07,0.05,0.14,0.02,0.04,0.01,0.03,0.09,0.01,0.07,0.18,0.02,0.04,0.04,0.04,0.154115450492,0.0050866941718,30.2977622178
11,0.06,0.12,0.01,0.04,0.03,0.1,0.03,0.03,0.05,0.12,0.01,0.03,0.03,0.02,0.13,0.05,0.01,0.04,0.09,0.116412455926,0.00578392810958,20.1268850029
12,0.11,0.02,0.05,0.03,0.05,0.01,0.08,0.1,0.07,0.12,0.03,0.01,0.07,0.04,0.03,0.01,0.06,0.08,0.03,0.0954911301837,0.00630916432919,15.135305597
13,0.02,0.08,0.01,0.01,0.06,0.01,0.04,0.02,0.02,0.06,0.08,0.02,0.01,0.06,0.13,0.22,0.09,0.01,0.05,0.142088978599,0.00657716332636,21.6033830313
14,0.05,0.02,0.01,0.01,0.06,0.02,0.03,0.05,0.04,0.09,0.07,0.06,0.02,0.2,0.13,0.02,0.06,0.05,0.01,0.119863186383,0.00532466901675,22.510917769
15,0.09,0.03,0.21,0.04,0.02,0.01,0.02,0.08,0.12,0.03,0.01,0.04,0.01,0.07,0.03,0.03,0.03,0.09,0.04,0.103978833799,0.00670078984339,15.5173996245
16,0.02,0.02,0.1,0.03,0.06,0.03,0.05,0.03,0.09,0.03,0.06,0.1,0.01,0.11,0.07,0.03,0.02,0.02,0.12,0.142659019252,0.00626003113132,22.7888673809
17,0.01,0.13,0.01,0.01,0.07,0.08,0.02,0.02,0.01,0.11,0.03,0.14,0.04,0.04,0.09,0.08,0.02,0.02,0.07,0.167827375567,0.00560782446045,29.9273589519
